model,rate_hz,activity,mean,n_subjects,std
deepconvlstm,6,climbingdown,0.5944545195011511,13,0.23758061650559467
deepconvlstm,6,climbingup,0.6745588668043212,13,0.24709137508273482
deepconvlstm,6,jumping,0.7180748703892367,13,0.19617179335150875
deepconvlstm,6,lying,0.9724722419680796,13,0.03710328493933701
deepconvlstm,6,running,0.7280278658022084,13,0.25704238790221146
deepconvlstm,6,sitting,0.6542291285901395,13,0.32601426695602953
deepconvlstm,6,standing,0.5454230394695844,13,0.3210330965387967
deepconvlstm,6,walking,0.6489266953736641,13,0.2455527104263278
deepconvlstm,12,climbingdown,0.642839116607367,15,0.22404726837082312
deepconvlstm,12,climbingup,0.7144762619890435,15,0.21840511046491157
deepconvlstm,12,jumping,0.8568117071927003,15,0.14077278189279047
deepconvlstm,12,lying,0.9757683846284011,15,0.024183689148120763
deepconvlstm,12,running,0.801809683864064,15,0.2458320587365113
deepconvlstm,12,sitting,0.6693455209240409,15,0.31092848946650803
deepconvlstm,12,standing,0.6386578580797864,15,0.2661559285351443
deepconvlstm,12,walking,0.694693170306903,15,0.234920325717645
deepconvlstm,25,climbingdown,0.6662884105760262,15,0.25527185542613323
deepconvlstm,25,climbingup,0.7205855357128551,15,0.2155571332720604
deepconvlstm,25,jumping,0.850233426166025,15,0.1569153745284299
deepconvlstm,25,lying,0.9756633497764159,15,0.021379967228787336
deepconvlstm,25,running,0.7899667787143227,15,0.250842839635301
deepconvlstm,25,sitting,0.7156914915442054,15,0.3131543204751689
deepconvlstm,25,standing,0.6537891357029242,15,0.27556540669335533
deepconvlstm,25,walking,0.7144490784164972,15,0.25800129245605374
deepconvlstm,50,climbingdown,0.6842901368898969,15,0.23880773429579838
deepconvlstm,50,climbingup,0.7216837063829935,15,0.22990058189797413
deepconvlstm,50,jumping,0.8462471777162237,15,0.1691463396177648
deepconvlstm,50,lying,0.9735764902832572,15,0.03567797095490627
deepconvlstm,50,running,0.7988079877131768,15,0.25448465708756723
deepconvlstm,50,sitting,0.699888673791527,15,0.2775197705266617
deepconvlstm,50,standing,0.6408300753508935,15,0.26532589670655576
deepconvlstm,50,walking,0.7266962019338621,15,0.23998899498995513
pure_cnn,6,climbingdown,0.4528038837615588,13,0.21440354403187636
pure_cnn,6,climbingup,0.5982763413985878,13,0.2453497665087111
pure_cnn,6,jumping,0.4270219182248592,13,0.16691315805977994
pure_cnn,6,lying,0.94702308272603,13,0.10369764310273864
pure_cnn,6,running,0.5990923312425758,13,0.20603812214477363
pure_cnn,6,sitting,0.7159146831507521,13,0.35343603044585653
pure_cnn,6,standing,0.5803168636831756,13,0.289000563477146
pure_cnn,6,walking,0.4299844864924054,13,0.19993135829288441
pure_cnn,12,climbingdown,0.610935285629427,15,0.21462547028108672
pure_cnn,12,climbingup,0.6730795862381408,15,0.20456354344912894
pure_cnn,12,jumping,0.7782227663966896,15,0.2563910689210231
pure_cnn,12,lying,0.9755886684657761,15,0.022906496685177788
pure_cnn,12,running,0.7995638557618548,15,0.22005753739655387
pure_cnn,12,sitting,0.6953442424325652,15,0.35246582783855207
pure_cnn,12,standing,0.6264055027314728,15,0.26782331095059814
pure_cnn,12,walking,0.642377237650392,15,0.22721828451677856
pure_cnn,25,climbingdown,0.6819497526576247,15,0.23380366941398753
pure_cnn,25,climbingup,0.7076470460358515,15,0.19220914233597525
pure_cnn,25,jumping,0.83964257763966,15,0.22185400850549994
pure_cnn,25,lying,0.9750761542752049,15,0.02924181358007647
pure_cnn,25,running,0.8095183754355786,15,0.2593628392184813
pure_cnn,25,sitting,0.6602836737270531,15,0.3532449858038521
pure_cnn,25,standing,0.5954329054763119,15,0.2552818319854668
pure_cnn,25,walking,0.720855741625961,15,0.22103824638136535
pure_cnn,50,climbingdown,0.6932135151618039,15,0.23986949916500536
pure_cnn,50,climbingup,0.7266278665561999,15,0.19025148329725125
pure_cnn,50,jumping,0.8473470276305153,15,0.21676130548922656
pure_cnn,50,lying,0.9496864104162718,15,0.10012150934881953
pure_cnn,50,running,0.8111966955904139,15,0.2646542998269523
pure_cnn,50,sitting,0.6645412958350466,15,0.34669400511213033
pure_cnn,50,standing,0.6038740342574608,15,0.24983443184053672
pure_cnn,50,walking,0.7547048334903491,15,0.2209299814864866
